urn,group,author,title
urn:cts:greekLit:tlg1194.tlg001,urn:cts:greekLit:tlg1194,Aristonicus of Alexandria,De signis Odysseae
urn:cts:greekLit:tlg1205.tlg001,urn:cts:greekLit:tlg1205,Athenagoras,Legatio sive Supplicatio pro Christianis
urn:cts:greekLit:tlg1205.tlg002,urn:cts:greekLit:tlg1205,Athenagoras,De Resurrectione
urn:cts:greekLit:tlg1210.tlg001,urn:cts:greekLit:tlg1210,Autolycus,De Sphaera Quae Movetur
urn:cts:greekLit:tlg1210.tlg002,urn:cts:greekLit:tlg1210,Autolycus,De Ortibus et Occasibus
urn:cts:greekLit:tlg1216.tlg001,urn:cts:greekLit:tlg1216,Barnabae Epistula,The Epistle of Barnabas
urn:cts:greekLit:tlg1220.tlg001,urn:cts:greekLit:tlg1220,Batrachomyomachia,Batrachomyomachia
urn:cts:greekLit:tlg1247.tlg001,urn:cts:greekLit:tlg1247,Cebes,Cebetis tabula
urn:cts:greekLit:tlg1252.tlg002,urn:cts:greekLit:tlg1252,Certamen Homeri et Hesiodi,Certamen Homeri et Hesiodi
urn:cts:greekLit:tlg1264.tlg001,urn:cts:greekLit:tlg1264,Chrysippus,Fragmenta Logica et Physica
urn:cts:greekLit:tlg1264.tlg002,urn:cts:greekLit:tlg1264,Chrysippus,Fragmenta Moralia
urn:cts:greekLit:tlg1264.tlg003,urn:cts:greekLit:tlg1264,Chrysippus,Fragmenta quae ad explicationem carminum Homericorum pertinent
urn:cts:greekLit:tlg1264.tlg004,urn:cts:greekLit:tlg1264,Chrysippus,Fragmenta ad singulos libros relata
urn:cts:greekLit:tlg1269.tlg002,urn:cts:greekLit:tlg1269,Cleanthes,Testimonia et Fragmenta
urn:cts:greekLit:tlg1271.tlg001,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),The First Epistle of Clement to the Corinthians
urn:cts:greekLit:tlg1271.tlg002,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),The Second Epistle of Clement to the Corinthians
urn:cts:greekLit:tlg1271.tlg003,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Epistula Petri ad Jacobum [Sp.]
urn:cts:greekLit:tlg1271.tlg004,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Contestatio [Sp.]
urn:cts:greekLit:tlg1271.tlg005,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Epistula Clementis ad Jacobum [Sp.]
urn:cts:greekLit:tlg1271.tlg006,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Homiliae [Sp.]
urn:cts:greekLit:tlg1271.tlg010,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Epistulae de virginitate [Sp.]
urn:cts:greekLit:tlg1271.tlg011,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome altera auctore Symeone Metaphrasta) [Sp.]
urn:cts:greekLit:tlg1271.tlg012,urn:cts:greekLit:tlg1271,Clemens Romanus (Clement of Rome),Pseudo‑Clementina (epitome de gestis Petri praemetaphrastica) [Sp.]
urn:cts:greekLit:tlg1272.tlg001,urn:cts:greekLit:tlg1272,Cleomedes,De motu circulari corporum caelestium
urn:cts:greekLit:tlg1286.tlg001,urn:cts:greekLit:tlg1286,Hermetica,Poimandres
urn:cts:greekLit:tlg1286.tlg002,urn:cts:greekLit:tlg1286,Hermetica,Dialogus (sine titulo)
urn:cts:greekLit:tlg1286.tlg003,urn:cts:greekLit:tlg1286,Hermetica,Hieros logos
urn:cts:greekLit:tlg1286.tlg004,urn:cts:greekLit:tlg1286,Hermetica,Πρὸς Τάτ ὁ κρατήρ ἡ μονάς
urn:cts:greekLit:tlg1286.tlg005,urn:cts:greekLit:tlg1286,Hermetica,Πρὸς Τὰτ υἱόν ὅτι ἀφανὴς θεὸς φανερώτατός ἐστιν
urn:cts:greekLit:tlg1286.tlg006,urn:cts:greekLit:tlg1286,Hermetica,"Ὅτι ἐν μόνῳ τῷ θεῷ τὸ ἀγαθόν ἐστιν, ἀλλαχόθι δὲ οὐδαμοῦ"
urn:cts:greekLit:tlg1286.tlg007,urn:cts:greekLit:tlg1286,Hermetica,Ὅτι μέγιστον κακὸν ἐν ἀνθρώποις ἡ περὶ τοῦ θεοῦ ἀγνωσία
urn:cts:greekLit:tlg1286.tlg008,urn:cts:greekLit:tlg1286,Hermetica,"Ὅτι οὐδὲν τῶν ὄντων ἀπόλλυται, ἀλλὰ τὰς μεταβολὰς ἀπωλείας καὶ θανάτους πλανώμενοι λέγουσιν"
urn:cts:greekLit:tlg1286.tlg009,urn:cts:greekLit:tlg1286,Hermetica,"Περὶ νοήσεως καὶ αἰσθήσεως. [ὅτι ἐν μόνῳ τῷ θεῷ τὸ καλὸν καὶ ἀγαθόν ἐστιν, ἀλλαχόθι δὲ οὐδαμοῦ]"
urn:cts:greekLit:tlg1286.tlg010,urn:cts:greekLit:tlg1286,Hermetica,Κλείς
urn:cts:greekLit:tlg1286.tlg011,urn:cts:greekLit:tlg1286,Hermetica,Νοῦ πρὸς Ἑρμῆν
urn:cts:greekLit:tlg1286.tlg012,urn:cts:greekLit:tlg1286,Hermetica,Περὶ νοῦ κοινοῦ πρὸς Τάτ
urn:cts:greekLit:tlg1286.tlg013,urn:cts:greekLit:tlg1286,Hermetica,Πρὸς τὸν υἱὸν Τὰτ ἐν ὄρει λόγος ἀπόκρυφος περὶ παλιγγενεσίας καὶ σιγῆς ἐπαγγελίας
urn:cts:greekLit:tlg1286.tlg014,urn:cts:greekLit:tlg1286,Hermetica,Ἀσκληπιῷ εὖ φρονεῖν
urn:cts:greekLit:tlg1286.tlg016,urn:cts:greekLit:tlg1286,Hermetica,Ὅροι Ἀσκληπιοῦ πρὸς Ἄμμωνα βασιλέα
urn:cts:greekLit:tlg1286.tlg017,urn:cts:greekLit:tlg1286,Hermetica,Dialogus (sine titulo)
urn:cts:greekLit:tlg1286.tlg018,urn:cts:greekLit:tlg1286,Hermetica,Περὶ τῆς ὑπὸ τοῦ πάθους τοῦ σώματος ἐμποδιζομένης ψυχῆς
urn:cts:greekLit:tlg1286.tlg019,urn:cts:greekLit:tlg1286,Hermetica,Asclepius (verba Graeca solum)
urn:cts:greekLit:tlg1286.tlg020,urn:cts:greekLit:tlg1286,Hermetica,Fragmenta
urn:cts:greekLit:tlg1287.tlg001,urn:cts:greekLit:tlg1287,Crantor,Fragmenta
urn:cts:greekLit:tlg1304.tlg002,urn:cts:greekLit:tlg1304,Democritus,Fragmenta
urn:cts:greekLit:tlg1309.tlg001,urn:cts:greekLit:tlg1309,Dialexeis,Fragmenta
urn:cts:greekLit:tlg1311.tlg001,urn:cts:greekLit:tlg1311,Anonymous,Didache
urn:cts:greekLit:tlg1319.tlg002,urn:cts:greekLit:tlg1319,Diogenes of Apollonia,Fragmenta
urn:cts:greekLit:tlg1320.tlg001,urn:cts:greekLit:tlg1320,Diogenes Babylonius,Testimonia et Fragmenta
urn:cts:greekLit:tlg1325.tlg001,urn:cts:greekLit:tlg1325,Diogenes Sinopensis Epistulae,Epistulae
urn:cts:greekLit:tlg1329.tlg001,urn:cts:greekLit:tlg1329,Dionysius Corinthius,Fragmenta
urn:cts:greekLit:tlg1337.tlg003,urn:cts:greekLit:tlg1337,Dorotheus of Sidon,Fragmenta alia antiqua
urn:cts:greekLit:tlg1347.tlg004,urn:cts:greekLit:tlg1347,Epimenides,Fragmenta
urn:cts:greekLit:tlg1367.tlg001,urn:cts:greekLit:tlg1367,Euripides Epistulae,Epistulae
urn:cts:greekLit:tlg1383.tlg001,urn:cts:greekLit:tlg1383,Geminus,Elementa astronomia
urn:cts:greekLit:tlg1389.tlg001,urn:cts:greekLit:tlg1389,Harpocration,Lexicon in decem oratores Atticos
urn:cts:greekLit:tlg1390.tlg004,urn:cts:greekLit:tlg1390,Hecataeus of Abderita,Fragmenta
urn:cts:greekLit:tlg1402.tlg001,urn:cts:greekLit:tlg1402,Hephaestion,Enchridion de Metris
urn:cts:greekLit:tlg1402.tlg002,urn:cts:greekLit:tlg1402,Hephaestion,Introduction to Meter
urn:cts:greekLit:tlg1402.tlg003,urn:cts:greekLit:tlg1402,Hephaestion,On Poems
urn:cts:greekLit:tlg1402.tlg004,urn:cts:greekLit:tlg1402,Hephaestion,De Signis
urn:cts:greekLit:tlg1402.tlg005,urn:cts:greekLit:tlg1402,Hephaestion,Fragments
urn:cts:greekLit:tlg1409.opp003,urn:cts:greekLit:tlg1409,Heraclides Ponticus,Epitoma to Res Publica Atheniensium
urn:cts:greekLit:tlg1413.tlg001,urn:cts:greekLit:tlg1413,Heraclitus Paradoxographus,On Unbelievable Stories
urn:cts:greekLit:tlg1414.tlg001,urn:cts:greekLit:tlg1414,Heraclitus,Allegoriae (= Quaestiones Homericae)
urn:cts:greekLit:tlg1416.tlg007,urn:cts:greekLit:tlg1416,Philo of Byblos,De diversis verborum significationibus (= Περὶ διαφόρους σημασίας κατ’ ἀλφάβητον) (epitome operis Herennii Philonis)
urn:cts:greekLit:tlg1419.tlg001,urn:cts:greekLit:tlg1419,Hermas,The Shepherd of Hermas
urn:cts:greekLit:tlg1431.tlg003,urn:cts:greekLit:tlg1431,Hipparchus,In Arati et Eudoxi phaenomena commentariorum libri iii
urn:cts:greekLit:tlg1434.tlg004,urn:cts:greekLit:tlg1434,Hippias of Elis,Fragmenta
urn:cts:greekLit:tlg1441.tlg001,urn:cts:greekLit:tlg1441,Iamblichus (Scr. Erot.),Babyloniaca
urn:cts:greekLit:tlg1443.tlg001,urn:cts:greekLit:tlg1443,Ignatius of Antioch,Epistles
urn:cts:greekLit:tlg1443.tlg002,urn:cts:greekLit:tlg1443,Ignatius of Antioch,Epistulae interpolatae et epistulae suppositiciae (recensio longior) [Sp.]
urn:cts:greekLit:tlg1447.tlg001,urn:cts:greekLit:tlg1447,"Irenaeus, Saint, Bishop of Lyon",Libros quinque adversus haereses
urn:cts:greekLit:tlg1447.tlg009,urn:cts:greekLit:tlg1447,"Irenaeus, Saint, Bishop of Lyon",Fragmenta Synodicae Epistulae.
urn:cts:greekLit:tlg1463.tlg001,urn:cts:greekLit:tlg1463,Liber Enoch,Apocalypsis Enochi
urn:cts:greekLit:tlg1482.tlg001,urn:cts:greekLit:tlg1482,Cyranides,Cyranides
urn:cts:greekLit:tlg1484.tlg001,urn:cts:greekLit:tlg1484,Martyrium Polycarpi,The Martyrdom of Polycarp
urn:cts:greekLit:tlg1486.tlg001,urn:cts:greekLit:tlg1486,Matron of Pitana,Convivium Atticum
urn:cts:greekLit:tlg1486.tlg002,urn:cts:greekLit:tlg1486,Matron of Pitana,Fragmenta
urn:cts:greekLit:tlg1487.tlg001,urn:cts:greekLit:tlg1487,"Maximus, Astrologus",Περὶ καταρχῶν
urn:cts:greekLit:tlg1487.tlg002,urn:cts:greekLit:tlg1487,"Maximus, Astrologus",Carminum de actionum auspiciis reliquiae (epitome)
urn:cts:greekLit:tlg1542.tlg001,urn:cts:greekLit:tlg1542,Numenius of Apamea,Fragmenta
urn:cts:greekLit:tlg1548.tlg001,urn:cts:greekLit:tlg1548,Oenomaus of Gadara,Fragmenta
urn:cts:greekLit:tlg1551.tlg001,urn:cts:greekLit:tlg1551,Oracula Sibyllina,Oracula
urn:cts:greekLit:tlg1551.tlg002,urn:cts:greekLit:tlg1551,Oracula Sibyllina,Fragmenta
urn:cts:greekLit:tlg1553.tlg001,urn:cts:greekLit:tlg1553,Palaiphatos,De Incredibilibus
urn:cts:greekLit:tlg1562.tlg002,urn:cts:greekLit:tlg1562,Parmenides,Fragmenta
urn:cts:greekLit:tlg1595.tlg221,urn:cts:greekLit:tlg1595,Philodemus,De Musica Librorum Quae Exstant
urn:cts:greekLit:tlg1595.tlg370,urn:cts:greekLit:tlg1595,Philodemus,Volumina Rhetorica
urn:cts:greekLit:tlg1596.tlg002,urn:cts:greekLit:tlg1596,Philolaus of Croton,Fragmenta
urn:cts:greekLit:tlg1600.tlg001,urn:cts:greekLit:tlg1600,Philostratus Sophista,Imagines
urn:cts:greekLit:tlg1602.tlg001,urn:cts:greekLit:tlg1602,Philoxenus of Alexandria,Fragmenta
urn:cts:greekLit:tlg1617.tlg001,urn:cts:greekLit:tlg1617,Marcus Antonius Polemon,Declamationes
urn:cts:greekLit:tlg1622.tlg001,urn:cts:greekLit:tlg1622,Polycarp,Epistula ad Philippenses
urn:cts:greekLit:tlg1626.tlg001,urn:cts:greekLit:tlg1626,Polycrates Ephesius,Fragmentum Synodicae Epistulae
urn:cts:greekLit:tlg1634.tlg002,urn:cts:greekLit:tlg1634,Prodicus,Fragmenta
urn:cts:greekLit:tlg1664.tlg001,urn:cts:greekLit:tlg1664,Seniores Alexandrini,Fragmenta
urn:cts:greekLit:tlg1665.tlg001,urn:cts:greekLit:tlg1665,Seniores Apud Irenaeum,Reliquiae plurium anonymorum
urn:cts:greekLit:tlg1669.tlg004,urn:cts:greekLit:tlg1669,Serapion Astrologus,Fragmenta
urn:cts:greekLit:tlg1681.tlg001,urn:cts:greekLit:tlg1681,Solonis Epistulae,Epistulae
urn:cts:greekLit:tlg1692.tlg005,urn:cts:greekLit:tlg1692,Speusippus,Fragmenta
urn:cts:greekLit:tlg1699.tlg001,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ τοῦ δοκεῖν καὶ τοῦ εἶναι
urn:cts:greekLit:tlg1699.tlg002,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ αὐταρκείας
urn:cts:greekLit:tlg1699.tlg003,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ φυγῆς
urn:cts:greekLit:tlg1699.tlg004,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ συγκρίσεως πενίας καὶ πλούτου
urn:cts:greekLit:tlg1699.tlg005,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ συγκρίσεως πενίας καὶ πλούτου
urn:cts:greekLit:tlg1699.tlg006,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ τοῦ μὴ εἶναι τέλος ἡδονήν
urn:cts:greekLit:tlg1699.tlg007,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ περιστάσεων
urn:cts:greekLit:tlg1699.tlg008,urn:cts:greekLit:tlg1699,Teles Megarenesis,Περὶ ἀπαθείας
urn:cts:greekLit:tlg1701.tlg001,urn:cts:greekLit:tlg1701,Testamentum Abrahae,Testamentum Abrahae (recensio A)
urn:cts:greekLit:tlg1701.tlg002,urn:cts:greekLit:tlg1701,Testamentum Abrahae,Testamentum Abrahae (recensio B)
urn:cts:greekLit:tlg1705.tlg001,urn:cts:greekLit:tlg1705,Thales,Epistulae
urn:cts:greekLit:tlg1719.tlg001,urn:cts:greekLit:tlg1719,Theodosius of Bithynia,Sphaerica
urn:cts:greekLit:tlg1724.tlg001,urn:cts:greekLit:tlg1724,Theon Smyrnaeus,De utilitate mathematicae
urn:cts:greekLit:tlg1725.tlg001,urn:cts:greekLit:tlg1725,Theophilus,Ad Autolycum
urn:cts:greekLit:tlg1749.tlg001,urn:cts:greekLit:tlg1749,Vitae Hesiodi Particula,Vitae Hesiodi Particula
urn:cts:greekLit:tlg1750.tlg001,urn:cts:greekLit:tlg1750,Vitae Prophetarum,De prophetarum vita et obitu (Dorothei recensio)
urn:cts:greekLit:tlg1750.tlg002,urn:cts:greekLit:tlg1750,Vitae Prophetarum,De prophetarum vita et obitu (recensio anonyma)
urn:cts:greekLit:tlg1750.tlg003,urn:cts:greekLit:tlg1750,Vitae Prophetarum,De prophetarum vita et obitu (recensio scholiis Hesychii aliorumque patrum in prophetas adjecta)
urn:cts:greekLit:tlg1750.tlg004,urn:cts:greekLit:tlg1750,Vitae Prophetarum,Index apostolorum discipulorumque Domini
urn:cts:greekLit:tlg1763.tlg001,urn:cts:greekLit:tlg1763,Tryphon II Grammaticus,De tropis (olim sub auctore Gregorio Corintho)
urn:cts:greekLit:tlg1764.tlg001,urn:cts:greekLit:tlg1764,Vettius Valens,Anthologiarum libri
urn:cts:greekLit:tlg1765.tlg003,urn:cts:greekLit:tlg1765,Vitae Aesopi,Vita Aesopi Pl vel Accursiana (sub auctore Maximo Planude) (recensio 1)
urn:cts:greekLit:tlg1765.tlg004,urn:cts:greekLit:tlg1765,Vitae Aesopi,Vita Aesopi (fort. auctore Aphthonio)
urn:cts:greekLit:tlg1765.tlg005,urn:cts:greekLit:tlg1765,Vitae Aesopi,Βιβλίον μυθικὸν τοῦ Αἰσώπου
urn:cts:greekLit:tlg1766.tlg001,urn:cts:greekLit:tlg1766,Tatianus,Oratio ad Graecos
urn:cts:greekLit:tlg1799.tlg001,urn:cts:greekLit:tlg1799,Euclid,Elementa
urn:cts:greekLit:tlg1799.tlg007,urn:cts:greekLit:tlg1799,Euclid,Data
urn:cts:greekLit:tlg1799.tlg008,urn:cts:greekLit:tlg1799,Euclid,Data (demonstrationes alterae)
urn:cts:greekLit:tlg1799.tlg009,urn:cts:greekLit:tlg1799,Euclid,Optica
urn:cts:greekLit:tlg1799.tlg010,urn:cts:greekLit:tlg1799,Euclid,Opticorum recensio Theonis
urn:cts:greekLit:tlg1799.tlg011,urn:cts:greekLit:tlg1799,Euclid,Catoptrica (recensio Theonis?)
urn:cts:greekLit:tlg1799.tlg012,urn:cts:greekLit:tlg1799,Euclid,Phaenomena
urn:cts:greekLit:tlg1799.tlg013,urn:cts:greekLit:tlg1799,Euclid,Phaenomena (recensio b)
urn:cts:greekLit:tlg1799.tlg014,urn:cts:greekLit:tlg1799,Euclid,Phaenomena (demonstrationes alterae recensionis b)
urn:cts:greekLit:tlg1799.tlg015,urn:cts:greekLit:tlg1799,Euclid,Sectio canonis [Sp.]
urn:cts:greekLit:tlg1799.tlg016,urn:cts:greekLit:tlg1799,Euclid,Fragmenta
urn:cts:greekLit:tlg1799.tlg017,urn:cts:greekLit:tlg1799,Euclid,Epigramma
urn:cts:greekLit:tlg1801.tlg001,urn:cts:greekLit:tlg1801,Parodica Anonyma,Incertorum fragmenta
urn:cts:greekLit:tlg1802.tlg001,urn:cts:greekLit:tlg1802,Versus heroici,Versus heroici
urn:cts:greekLit:tlg1803.tlg001,urn:cts:greekLit:tlg1803,Bruti Epistulae,Epistulae
urn:cts:greekLit:tlg1805.tlg001,urn:cts:greekLit:tlg1805,Vitae Homeri,Vitae Herodotea
urn:cts:greekLit:tlg1805.tlg002,urn:cts:greekLit:tlg1805,Vitae Homeri,Plutarchi vita
urn:cts:greekLit:tlg1805.tlg003,urn:cts:greekLit:tlg1805,Vitae Homeri,Vita Proculea (e Chrestomathia)
urn:cts:greekLit:tlg1805.tlg004,urn:cts:greekLit:tlg1805,Vitae Homeri,Vita quarta
urn:cts:greekLit:tlg1805.tlg005,urn:cts:greekLit:tlg1805,Vitae Homeri,Vita quinta
urn:cts:greekLit:tlg1805.tlg006,urn:cts:greekLit:tlg1805,Vitae Homeri,Vita quinta
urn:cts:greekLit:tlg1805.tlg007,urn:cts:greekLit:tlg1805,Vitae Homeri,Vita septima
urn:cts:greekLit:tlg1805.tlg008,urn:cts:greekLit:tlg1805,Vitae Homeri,Tzetzae vita
urn:cts:greekLit:tlg1805.tlg009,urn:cts:greekLit:tlg1805,Vitae Homeri,Eustathii vita
urn:cts:greekLit:tlg1805.tlg010,urn:cts:greekLit:tlg1805,Vitae Homeri,Sudae vita
urn:cts:greekLit:tlg2000.tlg001,urn:cts:greekLit:tlg2000,Plotinus,Enneades
urn:cts:greekLit:tlg2001.tlg038,urn:cts:greekLit:tlg2001,Themistius,Analyticorum Posteriorum Paraphrasis
urn:cts:greekLit:tlg2001.tlg039,urn:cts:greekLit:tlg2001,Themistius,In Aristotelis Physica Paraphrasis
urn:cts:greekLit:tlg2001.tlg040,urn:cts:greekLit:tlg2001,Themistius,In Aristotelis Libros De Anima Paraphrasis
urn:cts:greekLit:tlg2001.tlg041,urn:cts:greekLit:tlg2001,Themistius,(Sophoniae) In Parva Naturalia Commentarium
urn:cts:greekLit:tlg2001.tlg042,urn:cts:greekLit:tlg2001,Themistius,Quae Fertur In Aristotelis Analyticorum Priorum Librum I
urn:cts:greekLit:tlg2001.tlg043,urn:cts:greekLit:tlg2001,Themistius,In Libros Aristotelis De Caelo Paraphrasis
urn:cts:greekLit:tlg2001.tlg044,urn:cts:greekLit:tlg2001,Themistius,In Aristotelis Metaphysicorum
urn:cts:greekLit:tlg2003.tlg001,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Panegyric in Honor of the Emperor Constantinus
urn:cts:greekLit:tlg2003.tlg002,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Panegyric on the Empress Eusebia
urn:cts:greekLit:tlg2003.tlg003,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome","The Heroic Deeds of the Emperor Constantius, or on Kingship"
urn:cts:greekLit:tlg2003.tlg004,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",A Consolation to Himself Upon the Departure of the Excellent Sallust
urn:cts:greekLit:tlg2003.tlg005,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Letter to the Senate and the People of Athens
urn:cts:greekLit:tlg2003.tlg006,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Letter to Themistius the Philosopher
urn:cts:greekLit:tlg2003.tlg007,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",To the Cynic Heracleios
urn:cts:greekLit:tlg2003.tlg008,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Hymn to the Mother of the Gods
urn:cts:greekLit:tlg2003.tlg009,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",To the Uneducated Cynics
urn:cts:greekLit:tlg2003.tlg010,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",The Caesars
urn:cts:greekLit:tlg2003.tlg011,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Hymn to King Helios Dedicated to Sallust
urn:cts:greekLit:tlg2003.tlg012,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Misopogon
urn:cts:greekLit:tlg2003.tlg013,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Epistolae
urn:cts:greekLit:tlg2003.tlg017,urn:cts:greekLit:tlg2003,"Julian, Emperor of Rome",Κατὰ Γαλιλαίων
urn:cts:greekLit:tlg2016.tlg001,urn:cts:greekLit:tlg2016,Martyrium Perpetuae et Felcitatis,The Passion of Perpetua and Felicitas
urn:cts:greekLit:tlg2018.tlg001,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Praeparatio Evangelica
urn:cts:greekLit:tlg2018.tlg002,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Ecclesiastical History
urn:cts:greekLit:tlg2018.tlg003,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,De Martyribus Palaestinae (Recensio Brevior)
urn:cts:greekLit:tlg2018.tlg005,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Demonstratio Evangelica
urn:cts:greekLit:tlg2018.tlg007,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Contra Marcellum
urn:cts:greekLit:tlg2018.tlg008,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Epistula ad Flacillum
urn:cts:greekLit:tlg2018.tlg009,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,De Ecclesiastica Theologia
urn:cts:greekLit:tlg2018.tlg010,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,De Theophania (Fragmenta)
urn:cts:greekLit:tlg2018.tlg011,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Onomasticon
urn:cts:greekLit:tlg2018.tlg020,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Vita Constantini
urn:cts:greekLit:tlg2018.tlg021,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Constantini imperatoris oratio ad coetum sanctorum
urn:cts:greekLit:tlg2018.tlg022,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,De Laudibus Constantini
urn:cts:greekLit:tlg2018.tlg023,urn:cts:greekLit:tlg2018,Eusebius of Caesarea,Generalis elementaria introductio (= Eclogae propheticae)
urn:cts:greekLit:tlg2021.tlg001,urn:cts:greekLit:tlg2021,Epiphanius,Ancoratus
urn:cts:greekLit:tlg2021.tlg002,urn:cts:greekLit:tlg2021,Epiphanius,Panarion (Adversus Haereses)
urn:cts:greekLit:tlg2021.tlg003,urn:cts:greekLit:tlg2021,Epiphanius,Anacephalaeosis [Sp.]
urn:cts:greekLit:tlg2022.tlg003,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,Christus Patiens [Dub.] (Fort. Auctore Constantino Manasse)
urn:cts:greekLit:tlg2022.tlg007,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,Adversus Eunomianos (Orat. 27)
urn:cts:greekLit:tlg2022.tlg008,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,De Theologia (Orat. 28)
urn:cts:greekLit:tlg2022.tlg009,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,De Filio (Orat. 29)
urn:cts:greekLit:tlg2022.tlg010,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,De Filio (Orat. 30)
urn:cts:greekLit:tlg2022.tlg011,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,De Spiritu Sancto (Orat. 31)
urn:cts:greekLit:tlg2022.tlg060,urn:cts:greekLit:tlg2022,Gregory of Nazianzus,Carmina moralia
urn:cts:greekLit:tlg2023.tlg001,urn:cts:greekLit:tlg2023,Iamblichus,De Vita Pythagorica
urn:cts:greekLit:tlg2023.tlg002,urn:cts:greekLit:tlg2023,Iamblichus,Protrepticus
urn:cts:greekLit:tlg2023.tlg003,urn:cts:greekLit:tlg2023,Iamblichus,De communi mathematica scientia
urn:cts:greekLit:tlg2023.tlg004,urn:cts:greekLit:tlg2023,Iamblichus,In Nicomachi Arithmeticam Introductionem
urn:cts:greekLit:tlg2023.tlg006,urn:cts:greekLit:tlg2023,Iamblichus,De Mysteriis
urn:cts:greekLit:tlg2027.tlg001,urn:cts:greekLit:tlg2027,Valerius Apsines,Ars rhetorica
urn:cts:greekLit:tlg2027.tlg002,urn:cts:greekLit:tlg2027,Valerius Apsines,Περὶ τῶν ἐσχηματισμένων προβλημάτων
urn:cts:greekLit:tlg2029.tlg001,urn:cts:greekLit:tlg2029,Anonymi summaria ratio geographiae in sphaera intelligendae,Anonymi summaria ratio geographiae in sphaera intelligendae
urn:cts:greekLit:tlg2032.tlg001,urn:cts:greekLit:tlg2032,Pappus Alexandrinus,Synagoge
urn:cts:greekLit:tlg2034.tlg002,urn:cts:greekLit:tlg2034,Porphyrius,Vita Pythagorae
urn:cts:greekLit:tlg2034.tlg003,urn:cts:greekLit:tlg2034,Porphyrius,De abstinentia
urn:cts:greekLit:tlg2034.tlg005,urn:cts:greekLit:tlg2034,Porphyrius,Ad Marcellam
urn:cts:greekLit:tlg2034.tlg006,urn:cts:greekLit:tlg2034,Porphyrius,Isagoge Sive Quinque Voces
urn:cts:greekLit:tlg2034.tlg007,urn:cts:greekLit:tlg2034,Porphyrius,In Aristotelis Categorias Expositio Per Interrogationem Et Responsionem
urn:cts:greekLit:tlg2034.tlg014,urn:cts:greekLit:tlg2034,Porphyrius,Quaestionum Homericanum ad Iliadem pertinentium reliquiae
urn:cts:greekLit:tlg2034.tlg015,urn:cts:greekLit:tlg2034,Porphyrius,Zetemata codicis Vaticani
urn:cts:greekLit:tlg2034.tlg027,urn:cts:greekLit:tlg2034,Porphyrius,Historia philosophiae (fragmenta)
urn:cts:greekLit:tlg2035.tlg002,urn:cts:greekLit:tlg2035,Athanasius of Alexandria,De Incarnatione Verbi
urn:cts:greekLit:tlg2035.tlg003,urn:cts:greekLit:tlg2035,Athanasius of Alexandria,De decretis Nicaenae synodi
